path,size_bytes,extension,sha256,encoding,lines
asset/model/Heraklios By A. Dizon.fbx,21757968,.fbx,c5e25f4fa5f40dbb0a75132411e7d5ffba0d40d4631e79d8171ef89eb193eda8,binary/unknown,
asset/model/house01.mtl,463,.mtl,d3868a4ce2e57ba72b8c899c715bc721e79ea702f5c87c3ed7b14759e042294f,binary/unknown,
asset/model/House_02.png,4936,.png,9a629f777e2270969b0cf135cdd56d3bc9df161b4e3e194a2f268f33f721e0e2,binary/unknown,
asset/model/House_02_Door.png,4926,.png,75effcb03052f2c560edb09118d6958f8b56f3b591d0373f04e53bd40a2f190e,binary/unknown,
asset/model/ido.mtl,250,.mtl,612d1a596058be612591aa91eeecc012f6568fca83c325d0c040e00a073a9544,binary/unknown,
asset/model/jumpattack.png,2421,.png,df1f0aafb8d8dded9b9a2d8570adb2ca24bbb60914096b947b9c36171c263c47,binary/unknown,
asset/model/jumpattack01.mtl,1986,.mtl,ea716146c9c065f7a72d7f8648102dee57b479d39dd106ab10e85efcba3cfa64,binary/unknown,
asset/model/Kachujin G Rosales.fbx,18686656,.fbx,aa44756dc986017ca37ad628493aeaaca43ede8570b73065cf8acb32e81b2564,binary/unknown,
asset/model/kuchi.png,3174,.png,02ce89d4f56ab0f4aa8b9c5c6a640cb701a2c5d28d2c5f6ae418e7752f484ed8,binary/unknown,
asset/model/m_sky.jpg,5063144,.jpg,8123e96c8f67a0f303514fe2846f193f024e2c8ce66ee4a2e6ab27f93530cab2,binary/unknown,
asset/model/Magic Heal.fbx,720784,.fbx,f2002699524c1c9427e1a9a8ead87074167521e722a7b8d4f9ee63435669f666,binary/unknown,
asset/model/Male Sitting Pose.fbx,380976,.fbx,97c05cbf944dd567cd7ba11a290e69eac3add8a585fef33602b74efea7e657e1,binary/unknown,
asset/model/MarketStand_01.png,5193,.png,ab4ac242565367f385662e991640abc65537bb8b9af2829876362afa551c1d11,binary/unknown,
asset/model/MarketStand_02.png,5382,.png,f0995216366ea717fed9a94023373f934493d5e35c9cd70613f21b20057a5b1d,binary/unknown,
asset/model/Maw J Laygo.fbx,13121776,.fbx,c64877716126b0c9cc30a11d6fe075720aed3cc7c8bcfffe3185c992ecc1ad5b,binary/unknown,
